,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
122505,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
122624,Transmilenio,4.69966918226,5.0252154,-74.0379091509,-74.0011074,02:00:00,2.0,36.46885699439804,18.23442849719902
122626,Transmilenio,4.69966918226,5.0252154,-74.0379091509,-74.0011074,02:00:00,2.0,36.46885699439804,18.23442849719902
122640,Transmilenio,4.64456809228,5.0252154,-74.0634609853,-74.0011074,02:09:00,2.15,42.93428120455866,19.969433118399376
122642,ESPECIAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:00:00,1.0,18.57642995976313,18.57642995976313
122681,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
122683,Transmilenio,4.6402224458486,5.0252154,-74.065071002045,-74.0011074,02:10:00,2.1666666666666665,43.440603147143406,20.04950914483542
122735,ILEGAL,4.7276310283882,5.0252154,-74.022961059648,-74.0011074,01:52:00,1.8666666666666667,33.2155446246218,17.79404176319025
122774,MOTO,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
122776,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
122784,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:20:00,0.3333333333333333,12.114400517096264,36.34320155128879
122786,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:35:00,0.5833333333333334,12.114400517096264,20.767543743593595
122796,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:20:00,0.3333333333333333,12.114400517096264,36.34320155128879
122798,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:20:00,0.3333333333333333,12.114400517096264,36.34320155128879
122800,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
122812,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
122816,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
122818,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:20:00,0.3333333333333333,12.114400517096264,36.34320155128879
122820,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
122825,Transmilenio,4.6296371144706,5.0252154,-74.060186049445,-74.0011074,02:14:00,2.2333333333333334,44.52057884012156,19.934587540352936
122841,MOTO,4.7802224211598,5.0252154,-74.041483967679,-74.0011074,02:00:00,2.0,27.637755937556697,13.818877968778349
122867,ESPECIAL,4.9647668,5.0252154,-73.9121163,-74.0011074,01:00:00,1.0,11.944659455042787,11.944659455042787
122871,TPC-SITP,4.6563139941318,5.0252154,-74.159926515226,-74.0011074,02:00:00,2.0,44.6850987705979,22.34254938529895
122942,ESPECIAL,4.9647668,5.0252154,-73.9121163,-74.0011074,01:00:00,1.0,11.944659455042787,11.944659455042787
